sous_chapitre,theme,indicateur,reg,date_lib,date,valeur,type,nom_region
Épidémies Hivernales,Grippe,Niveau d'alerte épidémique,02,2023-S39,2023-09-25,1,Catégorielle,Martinique
Épidémies Hivernales,Grippe,Niveau d'alerte épidémique,07,2023-S39,2023-09-25,1,Catégorielle,
Épidémies Hivernales,Grippe,Niveau d'alerte épidémique,11,2023-S39,2023-09-25,1,Catégorielle,Île-de-France
Épidémies Hivernales,Grippe,Niveau d'alerte épidémique,52,2023-S39,2023-09-25,1,Catégorielle,Pays de la Loire
Épidémies Hivernales,Grippe,Niveau d'alerte épidémique,75,2023-S39,2023-09-25,1,Catégorielle,Nouvelle-Aquitaine
Épidémies Hivernales,Grippe,Niveau d'alerte épidémique,93,2023-S39,2023-09-25,1,Catégorielle,Provence-Alpes-Côte d'Azur
Épidémies Hivernales,Grippe,Niveau d'alerte épidémique,07,2023-S40,2023-10-02,1,Catégorielle,
Épidémies Hivernales,Grippe,Niveau d'alerte épidémique,24,2023-S40,2023-10-02,1,Catégorielle,Centre-Val de Loire
Épidémies Hivernales,Grippe,Niveau d'alerte épidémique,32,2023-S40,2023-10-02,1,Catégorielle,Hauts-de-France
Épidémies Hivernales,Grippe,Niveau d'alerte épidémique,75,2023-S40,2023-10-02,1,Catégorielle,Nouvelle-Aquitaine
Épidémies Hivernales,Grippe,Niveau d'alerte épidémique,93,2023-S40,2023-10-02,1,Catégorielle,Provence-Alpes-Côte d'Azur
Épidémies Hivernales,Grippe,Niveau d'alerte épidémique,94,2023-S40,2023-10-02,1,Catégorielle,Corse
Épidémies Hivernales,Grippe,Niveau d'alerte épidémique,02,2023-S41,2023-10-09,1,Catégorielle,Martinique
Épidémies Hivernales,Grippe,Niveau d'alerte épidémique,03,2023-S41,2023-10-09,1,Catégorielle,Guyane
Épidémies Hivernales,Grippe,Niveau d'alerte épidémique,27,2023-S41,2023-10-09,1,Catégorielle,Bourgogne-Franche-Comté
Épidémies Hivernales,Grippe,Niveau d'alerte épidémique,28,2023-S41,2023-10-09,1,Catégorielle,Normandie
Épidémies Hivernales,Grippe,Niveau d'alerte épidémique,76,2023-S41,2023-10-09,1,Catégorielle,Occitanie
Épidémies Hivernales,Grippe,Niveau d'alerte épidémique,94,2023-S41,2023-10-09,1,Catégorielle,Corse
